Cod;Servico
10;MOVEL PESSOAL
12;RADIOENLACES ASSOCIADOS AO SERVICO MOVEL PRIVADO
13;RADIOENLACES ASSOCIADOS AO SERV.ESPEC.RADIOCHAMADA
14;RADIOENLACES ASSOCIADOS AO SERV.REDE ESPECIALIZADO
15;RADIOENLACES ASSOCIADOS A SISTEMA DE SATELITES
16;RADIOENLACES ASSOCIADOS AO SERV.POR LINHA DEDICADA
17;LIMITADO ESPECIALIZADO
18;MOVEL CELULAR
19;LIMITADO PRIVADO
20;LIMITADO MOVEL ESPECIALIZADO
21;LIMITADO - FIBRAS OTICAS
22;RADIOENLACES ASSOCIADOS AO SERVICO MOVEL CELULAR
23;LIMITADO MOVEL PRIVADO
24;RADIOENLACES ASSOC.SERV.ESPEC.REPETICAO SINL.AUDIO
25;RADIOENLACES ASSOC.SERV.ESPEC.REPETICAO TV/VIDEO
26;RADIOENLACES ASSOC.AO SERV. CIRCUITO ESPECIALIZADO
27;RADIOENLACES ASSOC.AO SERV.MOVEL ESPECIALIZADO
28;LIMITADO PRIVADO ESTACOES ITINERANTES
29;RADIOENLACES ASSOC.AO SERV.LIMTADO ESPECIALIZADO
30;SERV. REDE DE TRANSPORTE TELECOMUNICACOES - SRTT
31;SERV. REDE DE TRANSPORTE TELECOM-SRTT - SATELITE
32;RADIOENLACES ASSOC.SERV.REDE TRANSPORTE TELECOMUN.
33;RADIOENLACES ASSOCIADOS AO SERVICO DE RADIOTAXI
34;SLMP PRESTADO A DETERMINADOS GRUPOS DE USUARIOS
35;ESPC. P/FINS CIENTIF.EXPERIMENTAIS
36;SERVICO DE MONITORAGEM DO ESPECTRO
37;SERVICO USO TEMPORARIO DO ESPECTRO
38;SERVICO ESPECIAL DE REPET. DE SINAIS DE TV E VIDEO
39;SERVICO ESPECIAL DE REPETICAO DE SINAIS DE AUDIO
40;SERVICO POR LINHA DEDICADA(SLD)
41;SERVICO DE REDE COMUTADA POR PACOTE
42;SERVICO DE REDE COMUTADA POR CIRCUITO
43;ESPECIAL DE RADIORRECADO
44;ENLACES FISICOS ASSOC. AO SERVICO LIMITADO PRIVADO
45;Serviço de Comunicação Multimídia
46;Radioenlaces associados ao SCM
47;Serviço de Comunicação Multimídia - Est. Terrena
48;RADIO-ACESSO
51;ESPECIAL DE RADIOCHAMADA
53;RADIOENLACES ASSOCIADOS AO SMP
54;Radioenlaces associados ao SMP/E
60;LIMITADO PRIVADO DE RADIOCHAMADA-SLPR
64;MOVEL MARITIMO ESPECIALIZADO
67;SERVICO AVANCADO DE MENSAGEM(SAM)
69;SERVICO DE CIRCUITO ESPECIALIZADO
76;SERVICO DE REDE PRIVADO
77;SERVICO DE REDE ESPECIALIZADO
78;SERVICO DE RADIOTAXI PRIVADO
79;SERVICO DE RADIOTAXI ESPECIALIZADO
86;ESPECIAL DE FREQUENCIA PADRAO
94;ESPECIAL DE SINAIS HORARIOS
108;SERVIÇO LIMITADO PRIVADO SUBMODALIDADE RADIODETERMINAÇÃO
116;TEL.PUBLICO MOVEL RODOVIARIO-TELESTRADA
124;ESPECIAL DE SUPERVISAO E CONTROLE/USO PROPRIO
125;ESPECIAL DE SUPERVISAO E CONTROLE/TERCEIROS
132;ESPECIAL DE RADIOAUTOCINE
140;LIMITADO - RADIOESTRADA
159;RADIOCOM. AERONAUTICA PUBLICO-RESTRITO
163;SERVICO DE COMUNICACAO DE TEXTOS
167;ESPECIAL DE TELEVISAO POR ASSINATURA
171;SERVICO TELEFONICO FIXO COMUTADO
172;STFC - LD NACIONAL
173;STFC - LD INTERNACIONAL
174;STFC-ESTACOES DE COMUTACAO - LDN INTRA-REGIONAL
175;STFC/RADIOTELEFONICO - ESTACOES TERRESTRES
176;STFC/RADIOTELEFONICO - ESTACOES TERRENAS
181;LIMITADO PRIVADO POR SATELITE
182;LIMITADO ESPECIALIZADO POR SATELITE
183;ESPECIAL DE BOLETINS METEOROLOGICOS
185;EXPLORACAO DE SATELITE E ESTACOES DE ACESSO
187;SERVICO DE REDE ESPECIALIZADO P/SATELITE
188;SERVICO DE CIRCUITO ESPECIALIZADO P/SATELITE
189;SERVICO MOVEL GLOBAL POR SATELITE(SMGS)
191;SERVICO DE COMUNICACAO DE DADOS COMUTADO
205;Radiodifusão Sonora em Onda Média
213;Radiodifusão Sonora em Ondas Curtas
221;Radiodifusão Sonora em Onda Tropical
230;Radiodifusão Sonora em Freqüência Modulada
231;Radiodifusão Comunitária
247;Radiodifusão de Sons e Imagens Digital
248;Radiodifusão de Sons e Imagens
251;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS
252;AUXILIAR RADIODIF.- REPORTAGEM EXTERNA
253;AUXILIAR RADIODIF.- COM. DE ORDENS INTERNAS
254;AUX. DE RADIODIFUSAO - TELECOMANDO
255;AUX. DE RADIODIFUSAO - TELEMEDICAO
256;AUXILIAR DE RADIODIFUSAO E CORRELATOS
264;ESPECIAL CANAL SECUNDARIO DE SONS E IMAGENS
302;RADIOAMADOR
350;RADIOTELEGRAFISTA/RADIOTELEFONISTA
400;RADIO DO CIDADAO
507;MOVEL AERONAUTICO(ESTACOES DE AERONAVE)
604;MOVEL MARITIMO(ESTACOES DE NAVIO)
701;ESPECIAL DE MUSICA FUNCIONAL
710;ESPECIAL EM CANAL SECUNDARIO DE FM
728;ESPECIAL DE REPETICAO DE TELEVISAO
729;TV A CABO
730;ESPECIAL DE REPETICAO DE TV - SATELITE
735;DISTRIB. SINAIS TV/AUDIO P/ASSINATURA VIA SATELITE
740;ESPEC.DISTRIB.SINAIS MULTIPONTO/MULTICANAL
800;ESPECIAL DE RETRANSMISSAO DE T.V.
810;DISTRIBUICAO DE SINAIS DE TELEVISAO - DISTV
820;DE TELEV. EM CIRCUITO FECHADO (RADIOENLACE)
